School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
MOUNT ST. MARY ACADEMY - LITTL,32,6,3224 KAVANAUGH                ,LITTLE ROCK         ,AR,72205,MS. ,PATTIE              ,               ,DAVIS                    ,LITTLE ROCK SCHOOL DISTRICT,6001000,446,9,12,Y,Y,Y,
MTN. HOME CHRISTIAN ACADEMY   ,32,6,1989 Glenbriar Dr.            ,Mountain Home       ,AR,72653,    ,Mike                ,               ,Cully                    ,MOUNTAIN HOME SCHOOL DISTRICT,303000,208,P ,12,N,Y,N,
MTN. HOME SEVENTH DAY ADVENTIS,32,6,3744 HWY 62 W                 ,Mountain Home       ,AR,72653,    ,Elroy               ,A.             ,Tesch                    ,MOUNTAIN HOME SCHOOL DISTRICT,303000,3,K ,8,N,N,N,
NASHVILLE CHRISTIAN DAY SCHOOL,32,6,1409 Mission Drive            ,Nashville           ,AR,71852,Mr  ,Lavon               ,               ,Hostetler                ,MINERAL SPRINGS SCHOOL DISTRICT,3104000,31,K ,8,N,N,N,
NEW HEIGHTS CHRISTIAN SCHOOL -,32,6,7702 SW Regional Airport Rd   ,Bentonville         ,AR,72712,    ,Jeremy              ,               ,Waltrip                  ,BENTONVILLE SCHOOL DISTRICT,401000,35,1,12,N,N,N,
NORTH LITTLE ROCK CATHOLIC ACA,32,6,1518 Parker Street            ,North Little Rock   ,AR,72114,    ,Denise              ,               ,Troutman                 ,NORTH LITTLE ROCK SCHOOL DISTRICT,6002000,201,P ,8,Y,Y,N,
OAK GROVE MONTESSORI SCHOOL - ,32,6,5247 Har Ber Ave              ,Springdale          ,AR,72762,    ,Janet               ,               ,Davis                    ,SPRINGDALE SCHOOL DISTRICT,7207000,23,P ,1,N,N,N,
OUACHITA HILLS ACADEMY        ,32,6,16 CAMPUS VIEW DRIVE          ,AMITY               ,AR,71921,    ,HARRIETT            ,               ,CLARK                    ,CENTERPOINT SCHOOL DISTRICT,5502000,3,6,12,N,N,N,
OUR LADY OF FATIMA - BENTON   ,32,6,817 W. Cross St.              ,Benton              ,AR,72015,    ,Jan                 ,               ,Cash                     ,BENTON SCHOOL DISTRICT,6302000,61,K ,8,Y,Y,N,
OUR LADY OF HOLY SOULS - LITTL,32,6,1001 NORTH TYLER STREET       ,LITTLE ROCK         ,AR,72205,MS. ,NANCY               ,               ,HANDLOSER                ,LITTLE ROCK SCHOOL DISTRICT,6001000,452,P ,8,Y,Y,Y,
OZARK ADVENTIST SCHOOL - GENTR,32,6,20997 Dawn Hill East Rd       ,Gentry              ,AR,72734,Mr. ,Mike                ,               ,Dale                     ,GENTRY SCHOOL DISTRICT,403000,155,9,12,N,N,N,
PRISM EDUCATION CENTER        ,32,6,2855 E. Joyce Blvd.           ,Fayetteville        ,AR,72703,    ,Lindsey             ,               ,Nichols                  ,GREENLAND SCHOOL DISTRICT,7204000,2,K ,12,Y,N,N,
PRISM EDUCATION CENTER        ,32,6,2855 East Joyce Blvd          ,Fayetteville        ,AR,72703,    ,Misty               ,               ,Newcomb                  ,FAYETTEVILLE SCHOOL DISTRICT,7203000,96,K ,12,Y,Y,Y,
